CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
WI-02,2016,29.0,65.8,68.3,30.5
WI-03,2016,49.3,44.8,54.8,43.8
WI-04,2016,21.8,74.0,75.3,23.8
WI-05,2016,57.4,37.3,37.7,61.3
WI-06,2016,55.7,38.8,45.8,53.1
WI-07,2016,57.7,37.3,47.8,50.9
WI-08,2016,56.2,38.6,47.6,51.3
WV-01,2016,68.0,26.4,35.5,62.2
WV-02,2016,65.8,29.4,38.0,60.0
WV-03,2016,72.5,23.3,32.8,65.0
WY-AL,2016,70.1,22.5,28.0,69.2
AK-AL,2020,53.1,43.0,37.6,52.8
AL-01,2020,,,34.1,63.5
AL-02,2020,,,33.0,64.9
AL-03,2020,,,32.3,65.3
AL-04,2020,,,17.4,80.4
AL-05,2020,,,31.3,64.7
AL-06,2020,,,26.1,70.8
AL-07,2020,,,69.8,28.6
AR-01,2020,69.1,27.9,30.2,65.0
AR-02,2020,53.1,44.3,41.7,52.4
AR-03,2020,61.9,35.2,30.5,61.9
AR-04,2020,67.7,29.6,31.3,64.2
AZ-01,2020,48.4,50.1,46.6,47.7
AZ-02,2020,43.9,54.5,49.6,44.7
AZ-03,2020,35.7,62.8,62.4,32.5
AZ-04,2020,68.0,30.6,27.5,67.7
AZ-05,2020,56.4,41.9,36.5,57.6
AZ-06,2020,51.4,47.3,42.4,52.4
AZ-07,2020,24.7,73.7,71.8,22.6
AZ-08,2020,57.3,41.4,37.0,58.1
AZ-09,2020,37.3,60.8,54.7,38.4
CA-01,2020,56.4,41.1,36.5,56.2
CA-02,2020,23.9,73.6,69.0,23.3
CA-03,2020,42.7,54.9,53.0,40.4
CA-04,2020,53.7,43.9,39.3,54.0
CA-05,2020,25.3,72.4,69.2,24.3
CA-06,2020,27.2,70.3,69.2,24.4
CA-07,2020,41.9,55.6,52.3,40.9
CA-08,2020,54.0,43.6,39.6,54.7
CA-09,2020,39.9,57.9,56.6,38.0
CA-10,2020,47.4,50.3,48.5,45.5
CA-11,2020,23.6,74.3,71.5,22.7
CA-12,2020,11.9,86.1,86.2,8.7
CA-13,2020,9.0,88.9,87.4,6.8
CA-14,2020,20.5,77.7,76.9,18.2
CA-15,2020,26.4,71.5,69.9,24.2
CA-16,2020,38.9,58.8,58.0,36.4
CA-17,2020,25.5,72.5,73.9,20.5
CA-18,2020,21.3,76.4,73.4,20.2
CA-19,2020,27.9,70.0,72.9,21.5
CA-20,2020,25.0,72.7,70.4,23.2
CA-21,2020,43.5,54.4,55.2,39.7
CA-22,2020,51.6,46.2,42.6,52.1
CA-23,2020,57.1,40.5,36.1,58.1
CA-24,2020,36.9,60.7,56.7,36.5
CA-25,2020,43.9,54.0,50.3,43.6
CA-26,2020,36.5,61.4,57.9,36.0
CA-27,2020,30.8,67.2,66.0,28.4
CA-28,2020,27.2,70.9,72.1,22.3
CA-29,2020,23.7,74.1,77.7,16.8
CA-30,2020,29.4,68.7,69.1,25.7
CA-31,2020,38.9,58.8,57.7,36.6
CA-32,2020,32.8,65.2,66.6,27.7
CA-33,2020,29.0,69.0,67.8,26.5
CA-34,2020,16.9,80.8,83.6,10.7
CA-35,2020,32.6,65.1,67.7,26.9
CA-36,2020,42.3,55.9,52.2,43.4
CA-37,2020,13.8,84.3,85.7,9.6
CA-38,2020,32.3,65.6,67.0,27.4
CA-39,2020,44.0,54.1,51.5,42.9
CA-40,2020,20.6,77.1,82.2,12.8
CA-41,2020,36.1,61.7,61.0,33.1
CA-42,2020,52.7,45.3,41.4,53.4
CA-43,2020,20.9,76.9,78.4,16.7
CA-44,2020,19.2,78.4,83.0,12.3
CA-45,2020,43.3,54.6,49.8,44.4
CA-46,2020,33.5,64.3,66.3,27.9
CA-47,2020,35.3,62.4,62.6,31.0
CA-48,2020,48.2,49.7,47.9,46.2
CA-49,2020,42.5,55.2,50.7,43.2
CA-50,2020,52.7,45.0,39.6,54.6
CA-51,2020,30.9,66.9,71.8,22.8
CA-52,2020,34.2,63.4,58.1,35.6
CA-53,2020,30.9,67.0,64.5,29.6
CO-01,2020,22.1,75.6,69.0,23.2
CO-02,2020,33.6,63.7,56.2,34.9
CO-03,2020,51.6,46.1,40.0,52.0
CO-04,2020,56.6,40.8,34.3,57.4
CO-05,2020,54.7,41.8,33.2,57.2
CO-06,2020,39.3,58.2,50.2,41.3
CO-07,2020,37.1,60.0,51.4,39.4
CT-01,2020,35.3,63.3,59.4,36.3
CT-02,2020,43.5,54.5,48.7,45.8
CT-03,2020,38.8,59.9,55.9,40.4
CT-04,2020,34.5,64.2,59.6,36.6
CT-05,2020,43.9,54.6,49.9,45.8
DE-AL,2020,39.8,58.8,53.4,41.9
FL-01,2020,65.9,32.4,28.2,67.5
FL-02,2020,67.0,32.0,30.6,66.2
FL-03,2020,56.0,42.8,40.2,56.2
FL-04,2020,59.9,38.9,34.1,62.1
FL-05,2020,36.2,62.7,61.3,35.9
FL-06,2020,58.3,40.8,39.9,56.9
FL-07,2020,44.2,54.6,51.4,44.1
FL-08,2020,58.3,40.6,37.7,58.4
FL-09,2020,46.1,53.0,54.8,41.9
FL-10,2020,37.0,62.0,61.8,34.9
FL-11,2020,65.4,33.8,32.5,64.8
FL-12,2020,57.9,41.0,38.8,57.4
FL-13,2020,47.4,51.5,49.6,46.4
FL-14,2020,41.6,57.2,57.2,39.0
FL-15,2020,53.7,45.2,43.1,53.1
FL-16,2020,53.6,45.5,43.0,53.7
FL-17,2020,63.3,35.9,35.0,62.2
FL-18,2020,53.9,45.5,44.1,53.3
FL-19,2020,59.7,39.6,37.5,59.6
FL-20,2020,22.1,77.3,80.2,18.1
FL-21,2020,41.2,58.2,58.6,39.1
FL-22,2020,42.3,57.2,56.8,41.0
FL-23,2020,41.2,58.3,61.9,35.8
FL-24,2020,24.0,75.4,82.9,15.4
FL-25,2020,61.2,38.2,47.9,49.7
FL-26,2020,52.5,46.9,56.8,40.5
FL-27,2020,48.1,51.3,58.5,38.9
GA-01,2020,55.5,43.1,40.9,56.4
GA-02,2020,43.4,55.7,55.0,43.3
GA-03,2020,62.0,36.8,32.8,64.3
GA-04,2020,20.2,78.8,75.3,22.2
GA-05,2020,12.7,86.2,85.0,11.9
GA-06,2020,43.7,54.8,46.8,48.3
GA-07,2020,46.1,52.4,44.8,51.1
GA-08,2020,62.0,37.0,34.4,63.3
GA-09,2020,76.4,22.4,19.3,77.8
GA-10,2020,59.6,39.2,35.8,61.3
GA-11,2020,56.9,41.5,35.3,60.3
GA-12,2020,55.8,43.0,40.7,56.9
GA-13,2020,23.4,75.6,71.0,26.6
GA-14,2020,73.4,25.3,22.1,75.0
HI-01,2020,34.5,63.8,63.1,30.5
HI-02,2020,34.1,63.6,61.4,29.6
IA-01,2020,50.8,47.4,45.2,48.7
IA-02,2020,51.1,47.1,45.0,49.1
IA-03,2020,49.1,49.0,45.0,48.5
IA-04,2020,62.7,35.7,33.5,60.9
ID-01,2020,67.1,30.1,25.4,63.7
ID-02,2020,60.1,36.6,29.8,54.5
IL-01,2020,24.7,73.9,75.4,21.4
IL-02,2020,21.2,77.5,78.0,19.1
IL-03,2020,42.8,55.5,55.2,39.9
IL-04,2020,17.3,80.7,82.1,13.2
IL-05,2020,26.0,72.1,70.5,23.9
IL-06,2020,42.6,55.3,50.2,43.2
IL-07,2020,12.1,86.3,87.4,9.2
IL-08,2020,39.0,59.2,58.1,36.4
IL-09,2020,27.4,71.0,70.1,24.9
IL-10,2020,34.0,64.2,62.0,32.6
IL-11,2020,36.2,61.9,58.9,35.4
IL-12,2020,56.1,41.9,40.2,55.0
IL-13,2020,50.5,47.0,44.2,49.7
IL-14,2020,47.8,50.2,44.8,48.7
IL-15,2020,72.2,25.9,24.5,70.7
IL-16,2020,56.9,40.9,38.3,55.5
IL-17,2020,49.7,48.1,46.7,47.4
IL-18,2020,60.9,36.8,33.3,60.6
IN-01,2020,44.8,53.6,54.1,41.5
IN-02,2020,59.3,38.9,36.1,59.3
IN-03,2020,63.9,34.0,30.1,65.1
IN-04,2020,63.8,34.0,30.2,64.3
IN-05,2020,50.1,47.9,41.3,53.1
IN-06,2020,68.8,29.1,27.4,67.7
IN-07,2020,35.3,62.9,59.0,36.2
IN-08,2020,65.1,33.1,30.9,64.6
IN-09,2020,60.8,37.2,34.2,61.1
KS-01,2020,69.7,28.1,24.3,69.3
KS-02,2020,56.3,41.3,37.4,55.8
KS-03,2020,43.7,54.3,47.2,46.0
KS-04,2020,59.7,38.0,33.0,60.2
KY-01,2020,73.1,25.5,23.9,72.4
KY-02,2020,67.6,30.6,27.6,67.5
KY-03,2020,38.1,60.0,54.9,39.9
KY-04,2020,64.8,33.4,29.3,65.2
KY-05,2020,80.2,18.6,17.5,79.6
KY-06,2020,53.6,44.5,39.4,54.7
LA-01,2020,,,26.7,68.7
LA-02,2020,,,74.6,22.2
LA-03,2020,,,29.2,67.3
LA-04,2020,,,36.6,60.6
LA-05,2020,,,34.1,63.5
LA-06,2020,,,31.0,64.8
MA-01,2020,36.9,61.1,57.2,36.5
MA-02,2020,36.0,61.8,56.2,36.8
MA-03,2020,34.6,63.4,58.2,35.4
MA-04,2020,33.7,64.5,59.2,35.0
MA-05,2020,23.9,74.5,69.3,25.7
MA-06,2020,35.6,62.6,56.1,38.2
MA-07,2020,13.3,85.3,84.1,11.9
MA-08,2020,32.2,66.2,60.4,34.4
MA-09,2020,40.3,57.9,52.5,41.8
MD-01,2020,58.8,39.1,33.4,62.0
MD-02,2020,32.4,65.8,60.1,35.7
MD-03,2020,29.4,68.7,62.8,32.3
MD-04,2020,19.2,79.1,77.2,19.7
MD-05,2020,29.7,68.6,64.1,32.1
MD-06,2020,37.5,60.6,55.3,40.2
MD-07,2020,20.0,78.4,75.8,20.2
MD-08,2020,28.9,69.3,65.0,30.6
ME-01,2020,37.0,60.1,54.1,39.3
ME-02,2020,52.3,44.8,41.1,51.4
MI-01,2020,57.9,40.6,36.6,57.9
MI-02,2020,55.0,43.2,38.2,55.8
MI-03,2020,50.6,47.4,42.2,51.6
MI-04,2020,61.1,37.2,34.7,59.5
MI-05,2020,47.1,51.4,49.7,45.5
MI-06,2020,51.3,46.8,42.9,51.3
MI-07,2020,56.7,41.6,38.7,55.7
MI-08,2020,49.6,48.8,43.9,50.6
MI-09,2020,42.7,55.9,51.5,43.7
MI-10,2020,64.2,34.4,31.6,63.8
MI-11,2020,47.1,51.6,45.3,49.7
MI-12,2020,34.4,64.2,60.8,34.5
MI-13,2020,20.0,78.8,78.8,18.1
MI-14,2020,19.5,79.5,79.2,18.3
MN-01,2020,54.0,43.9,38.4,53.3
MN-02,2020,45.5,52.4,45.3,46.5
MN-03,2020,39.4,58.7,50.8,41.4
MN-04,2020,30.5,67.5,61.5,30.6
MN-05,2020,17.7,80.3,73.7,18.5
MN-06,2020,59.0,38.8,33.2,58.9
MN-07,2020,63.8,34.4,31.0,61.8
MN-08,2020,56.3,41.7,38.6,54.2
MO-01,2020,,,77.0,18.8
MO-02,2020,,,42.3,52.6
MO-03,2020,,,28.1,67.1
MO-04,2020,,,29.3,65.3
MO-05,2020,,,54.1,40.6
MO-06,2020,,,31.7,63.1
MO-07,2020,,,24.7,70.4
MO-08,2020,,,21.0,75.4
MS-01,2020,64.8,33.8,32.4,65.4
MS-02,2020,35.2,63.7,63.6,35.1
MS-03,2020,60.1,38.6,36.8,61.3
MS-04,2020,68.3,30.3,28.2,69.4
MT-AL,2020,56.9,40.6,35.9,56.5
NC-01,2020,45.3,53.9,54.7,43.6
NC-02,2020,34.0,64.3,60.3,35.9
NC-03,2020,60.9,37.7,36.5,61.0
NC-04,2020,32.2,66.6,65.2,31.9
NC-05,2020,67.4,31.6,30.3,67.2
NC-06,2020,37.2,61.6,59.4,37.9
NC-07,2020,58.1,40.7,38.7,58.6
NC-08,2020,52.5,46.1,44.1,53.2
NC-09,2020,53.4,45.5,43.3,53.7
NC-10,2020,67.7,31.2,29.6,67.8
NC-11,2020,55.4,43.3,39.9,57.2
NC-12,2020,28.5,70.1,67.3,29.5
NC-13,2020,67.1,31.8,30.6,67.0
ND-AL,2020,65.5,31.9,27.7,64.1
NE-01,2020,56.3,41.3,36.2,57.5
NE-02,2020,45.7,52.2,46.0,48.2
NE-03,2020,75.6,22.4,20.0,74.9
NH-01,2020,46.2,52.2,46.6,48.2
NH-02,2020,44.8,53.5,48.6,46.2
NJ-01,2020,36.6,62.1,60.6,36.1
NJ-02,2020,50.8,47.9,46.0,50.6
NJ-03,2020,49.4,49.2,45.2,51.4
NJ-04,2020,54.6,44.1,41.0,55.8
NJ-05,2020,46.7,52.0,47.7,48.8
NJ-06,2020,41.5,57.2,56.2,40.6
NJ-07,2020,44.3,54.2,48.6,47.5
NJ-08,2020,25.9,73.1,75.7,21.5
NJ-09,2020,36.9,62.1,64.3,33.1
NJ-10,2020,16.4,82.8,85.2,12.8
NJ-11,2020,45.8,52.9,47.9,48.8
NJ-12,2020,31.4,67.3,65.0,31.8
NM-01,2020,37.4,60.2,51.6,35.1
NM-02,2020,54.9,43.1,39.9,50.1
NM-03,2020,40.1,57.7,51.8,36.7
NV-01,2020,36.4,61.5,61.6,32.6
NV-02,2020,53.6,43.6,39.7,52.0
NV-03,2020,48.9,49.1,46.5,47.5
NV-04,2020,47.0,50.9,49.5,44.6
NY-01,2020,,,42.2,54.5
NY-02,2020,,,43.9,53.0
NY-03,2020,,,51.6,45.5
NY-04,2020,,,53.4,43.8
NY-05,2020,,,85.7,12.7
NY-06,2020,,,65.1,32.1
NY-07,2020,,,86.9,10.4
NY-08,2020,,,84.6,13.5
NY-09,2020,,,83.5,14.4
NY-10,2020,,,78.3,18.8
NY-11,2020,,,43.8,53.6
NY-12,2020,,,83.3,13.5
NY-13,2020,,,92.3,5.4
NY-14,2020,,,77.7,19.8
NY-15,2020,,,93.8,4.9
NY-16,2020,,,75.1,22.5
NY-17,2020,,,58.6,38.4
NY-18,2020,,,47.1,49.0
NY-19,2020,,,44.0,50.8
NY-20,2020,,,54.0,40.5
NY-21,2020,,,40.0,53.9
NY-22,2020,,,39.3,54.8
NY-23,2020,,,39.7,54.5
NY-24,2020,,,48.9,45.3
NY-25,2020,,,55.5,39.1
NY-26,2020,,,57.6,38.0
NY-27,2020,,,35.2,59.7
OH-01,2020,50.9,47.7,44.6,51.2
OH-02,2020,55.6,42.9,39.7,55.8
OH-03,2020,28.4,70.0,67.0,28.6
OH-04,2020,67.1,31.2,30.7,64.3
OH-05,2020,61.6,36.7,34.6,59.7
OH-06,2020,72.2,26.5,26.7,69.3
OH-07,2020,65.3,33.2,32.8,62.5
OH-08,2020,66.0,32.5,30.6,65.1
OH-09,2020,39.7,58.8,58.7,36.5
OH-10,2020,51.4,47.0,44.0,51.3
OH-11,2020,19.2,79.8,80.5,17.0
OH-12,2020,52.2,46.3,41.9,53.2
OH-13,2020,47.6,51.0,51.1,44.6
OH-14,2020,53.9,44.9,42.1,53.6
OH-15,2020,56.3,42.2,39.9,55.3
OH-16,2020,56.5,42.2,39.5,56.2
OK-01,2020,60.1,37.3,32.7,61.4
OK-02,2020,76.1,22.2,22.8,72.9
OK-03,2020,74.6,23.2,20.9,73.6
OK-04,2020,65.2,32.2,28.3,65.7
OK-05,2020,51.6,46.0,39.8,53.2
OR-01,2020,34.0,63.3,57.3,34.5
OR-02,2020,55.6,42.1,36.4,56.5
OR-03,2020,23.5,74.3,70.7,22.5
OR-04,2020,46.7,50.7,46.1,46.0
OR-05,2020,43.9,53.6,48.3,44.1
PA-01,2020,,,49.1,47.1
PA-02,2020,,,72.9,24.9
PA-03,2020,,,90.9,7.0
PA-04,2020,,,57.8,38.5
PA-05,2020,,,62.6,34.4
PA-06,2020,,,52.6,43.3
PA-07,2020,,,48.7,47.6
PA-08,2020,,,43.7,53.3
PA-09,2020,,,31.0,65.0
PA-10,2020,,,43.4,52.3
PA-11,2020,,,34.7,60.5
PA-12,2020,,,29.7,66.1
PA-13,2020,,,25.5,71.2
PA-14,2020,,,33.9,62.9
PA-15,2020,,,26.5,69.8
PA-16,2020,,,37.9,57.9
PA-17,2020,,,46.8,49.4
PA-18,2020,,,62.1,34.6
RI-01,2020,34.6,63.9,60.5,34.9
RI-02,2020,42.5,56.0,51.1,44.0
SC-01,2020,52.1,46.1,40.4,53.5
SC-02,2020,54.9,43.6,38.6,56.3
SC-03,2020,68.1,30.5,29.0,67.0
SC-04,2020,59.3,38.9,34.5,60.2
SC-05,2020,57.6,41.0,38.8,57.3
SC-06,2020,31.8,67.0,66.8,30.3
SC-07,2020,58.8,40.2,39.1,58.0
SD-AL,2020,61.8,35.6,31.7,61.5
TN-01,2020,76.2,22.1,19.7,76.7
TN-02,2020,63.6,34.5,29.7,65.1
TN-03,2020,65.3,32.9,30.2,65.4
TN-04,2020,67.5,30.7,27.4,68.6
TN-05,2020,36.7,60.3,56.5,38.2
TN-06,2020,72.7,25.6,23.7,72.6
TN-07,2020,66.9,31.3,28.2,67.5
TN-08,2020,65.4,33.2,30.7,66.3
TN-09,2020,19.9,78.5,77.5,19.8
TX-01,2020,71.6,27.2,25.3,72.2
TX-02,2020,49.9,48.6,43.1,52.4
TX-03,2020,49.8,48.7,40.6,54.8
TX-04,2020,74.4,24.4,21.8,75.4
TX-05,2020,60.9,37.9,34.3,62.7
TX-06,2020,50.8,47.8,41.9,54.2
TX-07,2020,45.1,53.6,48.5,47.1
TX-08,2020,70.6,28.1,23.9,72.7
TX-09,2020,23.3,75.7,79.3,18.0
TX-10,2020,50.0,48.4,43.2,52.3
TX-11,2020,79.1,19.7,19.1,77.8
TX-12,2020,60.5,37.9,32.7,62.9
TX-13,2020,79.2,19.4,16.9,79.9
TX-14,2020,59.0,39.6,38.4,58.2
TX-15,2020,48.5,50.4,56.7,40.0
TX-16,2020,32.0,66.4,67.9,27.2
TX-17,2020,54.6,43.6,38.8,56.3
TX-18,2020,23.0,75.7,76.5,20.0
TX-19,2020,72.2,26.3,23.5,72.5
TX-20,2020,34.7,63.7,61.0,34.3
TX-21,2020,50.6,47.9,42.5,52.5
TX-22,2020,49.8,48.9,44.2,52.1
TX-23,2020,50.3,48.5,49.8,46.4
TX-24,2020,46.5,51.9,44.5,50.7
TX-25,2020,54.0,44.4,40.2,55.1
TX-26,2020,56.3,42.1,34.4,60.9
TX-27,2020,61.2,37.5,36.5,60.1
TX-28,2020,47.2,51.6,58.3,38.5
TX-29,2020,32.9,65.9,71.1,25.4
TX-30,2020,18.9,79.8,79.1,18.3
TX-31,2020,50.4,47.6,40.8,53.5
TX-32,2020,44.0,54.4,48.5,46.6
TX-33,2020,25.6,73.0,72.9,23.7
TX-34,2020,47.5,51.5,59.2,37.7
TX-35,2020,30.5,67.7,64.1,30.5
TX-36,2020,71.9,26.9,25.2,72.0
UT-01,2020,64.2,31.6,22.4,49.7
UT-02,2020,56.1,40.2,32.0,46.0
UT-03,2020,60.3,35.2,23.3,47.2
UT-04,2020,52.4,43.3,32.4,39.1
VA-01,2020,51.4,47.1,41.2,53.6
VA-02,2020,46.7,51.5,45.4,48.8
VA-03,2020,31.3,67.2,63.6,31.9
VA-04,2020,36.8,61.8,58.7,37.1
VA-05,2020,53.6,45.1,42.3,53.4
VA-06,2020,59.8,38.6,34.9,59.7
VA-07,2020,48.7,49.8,44.0,50.5
VA-08,2020,21.1,77.6,73.5,20.9
VA-09,2020,70.4,28.4,27.3,68.8
VA-10,2020,39.6,58.9,52.2,42.2
VA-11,2020,28.3,70.3,66.9,27.5
VT-AL,2020,30.8,66.4,56.7,30.3
WA-01,2020,38.2,59.1,54.1,37.8
WA-02,2020,35.1,62.1,56.9,34.8
WA-03,2020,50.6,46.9,42.5,49.9
WA-04,2020,57.8,39.6,35.1,57.9
WA-05,2020,53.0,44.0,39.1,52.2
WA-06,2020,39.6,57.4,51.8,39.5
WA-07,2020,12.3,85.7,82.1,12.2
WA-08,2020,45.5,52.0,47.7,44.7
WA-09,2020,24.6,73.3,70.5,23.3
WA-10,2020,40.7,56.2,51.3,39.9
WI-01,2020,53.9,44.7,42.3,52.6
WI-02,2020,29.2,69.4,65.8,29.0
WI-03,2020,51.5,46.8,44.8,49.3
WI-04,2020,22.6,76.2,74.0,21.8
WI-05,2020,56.8,41.7,37.3,57.4
WI-06,2020,56.8,41.6,38.8,55.7
WI-07,2020,59.2,39.3,37.3,57.7
WI-08,2020,57.2,41.3,38.6,56.2
WV-01,2020,68.0,30.3,26.4,68.0
WV-02,2020,65.4,32.8,29.4,65.8
WV-03,2020,73.1,25.5,23.3,72.5
WY-AL,2020,70.4,26.7,22.5,70.1
